Artist,Listeners,Daily Trend,Peak,PkListeners
Shashaa Tirupati,"72,21,220","6,690",797,"89,62,957"
The Kooks,"72,19,432",13,1222,"73,12,391"
PEDRO SAMPAIO,"72,18,461","-11,742",934,"81,76,180"
Cole Swindell,"72,14,084","-45,881",1065,"82,70,647"
Filipe Ret,"72,08,354","2,257",1118,"73,90,235"
Stebin Ben,"72,05,929","45,847",1171,"72,05,929"
Omar Montes,"72,02,554","84,226",1228,"74,05,354"
Alanis Morissette,"72,01,702","-28,090",1144,"75,68,383"
AndrÃ©s Calamaro,"71,96,124","-4,058",1144,"72,00,182"
Dhanush,"71,95,908","1,308",1119,"77,51,673"
Social House,"71,83,419","-13,620",1176,"71,98,904"
BM,"71,78,472","4,254",1308,"71,78,472"
Chelsea Cutler,"71,76,118","51,331",968,"80,44,298"
Father John Misty,"71,73,121","12,356",1320,"71,73,121"
Tochi Raina,"71,60,325","-13,424",955,"89,68,139"
The All-American Rejects,"71,55,666",-750,1216,"71,95,721"
Ankit Tiwari,"71,50,276","-3,670",986,"87,33,054"
Arunraja Kamaraj,"71,48,230","5,223",1325,"71,48,230"
Alex Rose,"71,42,587","1,999",1273,"71,60,726"
Fatboy Slim,"71,41,845","-31,819",1083,"79,29,652"
Banda El Recodo,"71,37,912","5,212",1086,"77,97,977"
Rick Astley,"71,33,112","6,507",1268,"72,50,418"
Pol Granch,"71,22,367","-38,994",1266,"73,60,041"
Luciano,"71,14,338","-39,746",829,"92,05,446"
Irene Cara,"71,14,257","-9,489",1232,"73,60,429"
Gulzar,"71,12,796","9,950",1333,"71,12,796"
Ivan Cornejo,"71,12,184","-40,522",1192,"72,63,609"
Gloria Gaynor,"71,09,687","14,432",1210,"74,25,270"
The Kinks,"71,03,888","2,254",1256,"72,48,531"
Gente De Zona,"71,03,169","-2,108",1162,"76,69,082"
The Proclaimers,"71,02,855","-20,049",1315,"71,68,267"
Vijay Prakash,"71,01,591","-7,304",1273,"72,36,211"
Hades66,"70,83,886","-6,140",1340,"70,90,026"
Paulina Rubio,"70,78,202","21,280",1085,"73,35,283"
Eros Ramazzotti,"70,73,325","-20,987",977,"88,93,059"
Travis Barker,"70,71,955","-3,116",855,"94,72,692"
Aaliyah,"70,69,471","11,520",1341,"70,69,471"
Lasso,"70,63,765","-20,006",750,"95,35,035"
CNCO,"70,48,852",213,901,"82,73,953"
Far East Movement,"70,25,256",54,1274,"70,85,093"
AFROJACK,"70,21,172","-22,220",851,"86,40,590"
Idina Menzel,"70,20,457","-4,188",1121,"74,39,845"
TarcÃ­sio do Acordeon,"70,19,652","32,448",1294,"71,79,448"
Brandi Carlile,"70,10,142","15,076",868,"87,90,369"
Kxllswxtch,"70,04,753",261,1131,"77,26,184"
La Joaqui,"70,01,250","-47,168",610,"1,08,53,959"
Harrdy Sandhu,"69,94,619","8,080",1034,"83,91,170"
All Time Low,"69,93,590","-8,810",1081,"74,76,410"
CafÃ© Tacvba,"69,92,070","-20,568",1324,"71,14,538"
Kausar Munir,"69,91,044","-20,460",1128,"78,51,402"
Surfaces,"69,85,635","28,690",1043,"83,36,270"
Crowded House,"69,74,771","3,600",1315,"69,90,527"
Intocable,"69,73,056","3,074",1182,"69,81,752"
GROUPLOVE,"69,68,705","-31,240",1316,"71,33,022"
Sixpence None The Richer,"69,65,766","19,450",1362,"69,65,766"
Soundgarden,"69,61,415","-2,996",1296,"69,64,411"
Ricky Montgomery,"69,61,044","-29,096",1159,"74,44,216"
Fat Joe,"69,56,966","-1,748",1240,"70,32,533"
Anuradha Paudwal,"69,54,008",920,1366,"69,54,008"
Fiersa Besari,"69,52,560","4,308",1255,"72,95,990"
Melendi,"69,47,912","30,444",1275,"70,18,825"
JT,"69,42,888","75,231",1369,"69,42,888"
Jory Boy,"69,41,873","-9,380",1123,"75,97,345"
Hippie Sabotage,"69,41,785","11,759",1217,"71,29,907"
Angel Y Khriz,"69,38,642","4,706",1240,"69,38,642"
Manoj Muntashir,"69,33,450","-21,971",1014,"85,79,459"
Baby Rasta,"69,28,966","-9,716",609,"1,09,86,033"
Adolescent's Orquesta,"69,28,491","-18,321",1362,"69,82,829"
Dyamante DJ,"69,28,359","-24,898",1114,"79,55,745"
Calle 24,"69,23,319","3,22,507",1377,"69,23,319"
Katrina & The Waves,"69,16,936","-18,437",1249,"73,16,639"
Five Finger Death Punch,"69,16,097","-8,105",1192,"72,27,523"
Aditya A,"69,12,215","-22,913",1213,"74,72,939"
Ninho,"69,08,301","-8,267",1193,"75,56,733"
Heuss L'enfoirÃ©,"69,07,181","-17,154",1319,"71,18,046"
Tom Walker,"69,04,341","-12,330",1077,"74,63,462"
Gajendra Verma,"69,00,509","-18,732",1043,"84,29,794"
Mika Singh,"68,99,685","12,772",1199,"70,05,095"
Tinie Tempah,"68,98,942","-13,627",1298,"71,25,677"
NUEKI,"68,96,804","34,812",1387,"68,96,804"
Meet Bros.,"68,96,158","-2,338",1115,"79,80,418"
Europe,"68,94,430","-11,521",1240,"72,90,917"
MC Rogerinho,"68,93,155","72,682",1387,"68,93,155"
Orochi,"68,93,012","-8,227",932,"81,23,927"
Ajaxx,"68,88,729","9,888",1224,"68,88,729"
Salve Malak,"68,86,628","-36,143",1309,"71,38,958"
Willie ColÃ³n,"68,84,967","-10,808",1365,"69,20,664"
Luar La L,"68,76,457","-22,646",1094,"73,51,042"
Don McLean,"68,73,385","-20,310",1117,"79,45,750"
DJ Jeeh FDC,"68,72,417","-58,452",1058,"75,18,377"
Denzel Curry,"68,71,793","-29,058",985,"79,91,365"
$NOT,"68,67,326","-3,625",890,"84,04,075"
Marquinho no Beat,"68,66,543","1,541",1138,"76,27,292"
Ja Rule,"68,65,884","-1,301",1266,"69,25,060"
Zoe Wees,"68,60,027","-15,546",1130,"75,91,811"
Skylar Grey,"68,60,019","27,058",1121,"73,95,698"
twocolors,"68,59,492","34,982",1404,"68,59,492"
Arjun Kanungo,"68,55,585","-2,650",1350,"69,42,671"
London Symphony Orchestra,"68,53,042","5,511",1145,"74,50,279"
Marca MP,"68,50,333","3,546",936,"87,88,069"
The Cars,"68,43,957","9,360",1109,"79,59,787"
Eve,"68,37,499","2,313",1356,"68,37,499"
Hardwell,"68,36,444","-11,627",1070,"78,07,224"
KC & The Sunshine Band,"68,33,764","29,841",1346,"69,76,352"
Culture Club,"68,27,923","6,655",1384,"68,27,923"
Prezioso,"68,24,156","-2,917",1189,"76,14,612"
Don Diablo,"68,22,904","-13,558",1235,"70,58,796"
NBSPLV,"68,13,260","44,353",1415,"68,13,260"
Trevor Daniel,"68,09,162",43,968,"80,57,301"
SLANDER,"68,07,380",-431,1001,"87,19,324"
Yung Gravy,"68,02,418","-5,994",992,"78,45,433"
Tiakola,"68,01,231","1,13,646",1419,"68,01,231"
G Herbo,"67,99,383","-4,506",1175,"76,65,492"
wave to earth,"67,95,966","58,537",1421,"67,95,966"
D.O.D,"67,95,558","22,981",1362,"68,94,397"
Falling In Reverse,"67,89,582","12,356",1195,"75,41,964"
Matchbox Twenty,"67,89,098","-36,516",1116,"79,50,666"
Ludwig van Beethoven,"67,84,662","16,520",1120,"71,34,059"
YUNGBLUD,"67,79,584","16,991",1022,"76,79,145"
Gloria Groove,"67,74,629","-48,218",1294,"71,67,066"
Naeleck,"67,71,986","44,279",1428,"67,71,986"
Lily Allen,"67,68,399",987,1321,"68,92,058"
Ferrugem,"67,68,151","12,725",1430,"67,68,151"
Marilyn Manson,"67,64,181","3,671",1277,"68,02,556"
Dom Dolla,"67,63,137","-4,940",1105,"80,84,738"
Shafqat Amanat Ali,"67,55,745","13,889",1319,"69,02,950"
Kenia OS,"67,52,449","-3,789",660,"1,06,54,452"
Jamie Miller,"67,48,550","-21,990",1288,"70,17,011"
HVME,"67,45,395","-10,172",1094,"75,67,924"
Dreamville,"67,41,877","4,298",923,"83,28,012"
BANNERS,"67,40,096","-1,306",1183,"71,62,532"
Lil Pump,"67,38,805","7,553",1064,"75,49,525"
Ayushmann Khurrana,"67,30,227","52,895",1377,"68,49,196"
Toosii,"67,20,793","-22,569",759,"1,05,95,580"
Duke Dumont,"67,14,435","2,23,078",1364,"68,30,967"
Megan Moroney,"67,14,429","-31,987",1431,"67,46,416"
Masego,"67,10,253","25,742",1123,"74,02,272"
Callejero Fino,"66,99,575","-34,838",949,"82,88,592"
Gloria Estefan,"66,96,606","-6,881",1163,"69,89,636"
88rising,"66,95,082","2,182",1034,"76,06,297"
Kina,"66,84,382","-8,048",1115,"72,74,585"
Michelle Maciel,"66,83,457","34,212",1449,"66,83,457"
Cavetown,"66,83,006","-14,055",1114,"71,92,919"
Gloria Trevi,"66,71,030","5,222",1308,"66,71,030"
KEVIN ROLDAN,"66,70,587","16,672",1028,"77,62,548"
Ace of Base,"66,65,071","10,168",1404,"67,46,395"
Billy Ray Cyrus,"66,64,516","-10,832",1211,"71,46,266"
Adriano Rhod,"66,61,405","8,111",1261,"72,35,223"
Ludacris,"66,56,208","-7,073",1227,"73,31,813"
Joyner Lucas,"66,55,489","65,760",994,"81,37,459"
Deep Purple,"66,55,221","5,574",1331,"69,53,828"
Marta SÃ¡nchez,"66,51,729","-17,819",1399,"67,69,023"
Los Bukis,"66,50,734","22,956",1460,"66,50,734"
J Alvarez,"66,43,715","-10,357",1276,"66,88,464"
Anand Raj Anand,"66,43,405","4,431",1312,"70,79,695"
42 Dugg,"66,41,927",978,816,"92,79,623"
Lalo Ebratt,"66,38,947","-8,044",1289,"67,25,463"
Michael Schulte,"66,38,878","-14,825",1392,"67,63,607"
Astrid S,"66,38,440","-13,979",1034,"81,52,622"
La Quinta Estacion,"66,37,722","3,373",1448,"66,47,591"
Mariah Angeliq,"66,36,670","-21,174",1153,"72,92,039"
Los Dareyes De La Sierra,"66,29,412","-25,723",1094,"81,09,226"
Martin Jensen,"66,28,882","-10,901",1009,"77,22,826"
Moby,"66,27,516","-10,706",1354,"68,89,365"
Mc Delux,"66,23,143","1,42,951",1472,"66,23,143"
Slowboy,"66,22,381","33,797",1448,"66,22,381"
Jim Croce,"66,18,827","34,968",1364,"68,83,199"
Garry Sandhu,"66,12,739","-8,819",1379,"67,26,659"
Joe Cocker,"66,12,505","6,299",1364,"67,32,918"
LeÃ³n Larregui,"66,10,309","1,113",1441,"66,19,782"
Tony Aguirre,"66,05,280","22,133",737,"1,00,73,179"
Faye Webster,"66,04,099","-14,574",1469,"66,18,925"
Cassie,"66,00,844","95,541",1239,"74,12,114"
Dierks Bentley,"65,87,642","-7,028",1130,"73,06,967"
JISOO,"65,87,066","-27,630",358,"1,66,59,396"
Djonga,"65,85,287","-32,600",1376,"69,13,820"
Roar,"65,84,165","-27,050",1002,"78,95,115"
Commodores,"65,83,230","21,847",1380,"65,83,230"
Russ Millions,"65,80,755","75,526",1265,"65,98,871"
Toby Keith,"65,78,635","-12,634",1231,"74,46,093"
Seether,"65,62,468","4,590",1382,"65,62,468"
Vansire,"65,55,870","4,794",1043,"75,63,193"
Thalapathy Vijay,"65,51,458",452,1488,"65,52,696"
Khruangbin,"65,50,844","-24,387",1461,"65,75,231"
Eric Prydz,"65,50,251","26,706",1339,"66,49,027"
Buffalo Springfield,"65,46,262","13,556",1491,"65,46,262"
Fonseca,"65,37,169","4,709",1363,"66,44,386"
Aziz Hedra,"65,34,748","29,659",1495,"65,34,748"
Shakthisree Gopalan,"65,29,743","5,891",1453,"65,29,743"
Yot Club,"65,28,885","-2,298",1106,"73,27,559"
Nightcrawlers,"65,28,478",548,1172,"71,78,942"
Stone Temple Pilots,"65,22,596","-3,207",1371,"68,80,970"
Frankie Valli & The Four Seasons,"65,20,167","-1,546",1112,"80,57,325"
ITZY,"65,19,820","-14,604",1313,"67,12,862"
Ray Dalton,"65,14,778","-26,978",1099,"76,77,067"
Al Green,"65,14,184","1,936",1444,"65,14,184"
Hesham Abdul Wahab,"65,08,213","33,552",1504,"65,08,213"
Cypress Hill,"65,07,932","-17,157",1349,"69,86,666"
El Komander,"65,06,480","45,328",1493,"65,06,480"
Oruam,"65,01,359","5,929",1062,"74,47,471"
Yeah Yeah Yeahs,"64,96,342","11,832",1286,"65,87,292"
Greeicy,"64,95,794","21,109",1283,"65,83,585"
Plain White T's,"64,92,980","8,207",1345,"65,40,172"
Ashanti,"64,88,095","1,474",1326,"66,90,600"
Dallass,"64,83,772","-4,748",1249,"68,90,974"
Oxlade,"64,79,249","-39,418",1192,"76,03,048"
The Living Tombstone,"64,77,040","6,148",1463,"64,77,040"
Nessa Barrett,"64,76,686","1,971",1065,"79,68,073"
Xand AviÃ£o,"64,73,567","7,446",799,"90,60,333"
Aldo Ranks,"64,69,819","-1,87,560",800,"1,03,03,679"
Rob49,"64,60,755","-58,397",1122,"80,14,400"
Olly Murs,"64,59,605","-5,879",1298,"66,82,536"
Gilberto Santa Rosa,"64,54,977","-4,454",1287,"65,26,375"
Emma Steinbakken,"64,52,619","-49,131",1029,"85,01,007"
Tai Verdes,"64,51,469","-5,269",1207,"72,28,251"
Ãneheart,"64,50,810","-2,574",1352,"68,48,661"
Gala,"64,50,084","-22,832",1420,"66,32,004"
Armani White,"64,49,540","-10,678",790,"91,69,180"
YouNotUs,"64,42,258","-61,557",1432,"66,97,313"
Cardenales De Nuevo LeÃ³n,"64,42,248","7,632",1443,"64,42,248"
ODESZA,"64,39,018","-16,679",1232,"69,60,738"
9lives,"64,36,516","55,883",1529,"64,36,516"
Dustin Lynch,"64,29,689","18,106",1287,"71,96,018"
JACKBOYS,"64,27,448",-48,1269,"68,76,798"
Nat King Cole,"64,24,044","24,450",1373,"64,24,044"
Prod Malax,"64,23,641","-15,281",1421,"66,79,507"
KSHMR,"64,23,232","-65,825",1187,"74,88,809"
The Hollies,"64,21,257","12,928",1521,"64,21,257"
Lyodra,"64,20,673",-634,1347,"69,19,226"
Elle King,"64,06,688","-19,556",1096,"79,11,059"
ARIZONATEARS,"64,02,514","-14,755",641,"1,06,70,827"
Bruno & Marrone,"64,02,394","7,527",1452,"64,15,121"
Charlie Brown Jr.,"63,95,800","10,550",1540,"63,95,800"
Matisse,"63,95,675","-20,893",1253,"65,28,635"
Pet Shop Boys,"63,91,057","-9,251",1352,"66,79,478"
El Chapo De Sinaloa,"63,80,886","20,997",1543,"63,80,886"
Dhee,"63,69,496","16,872",1544,"63,69,496"
Sujatha,"63,63,931","-6,191",1535,"63,72,132"
Eric Land,"63,61,809","18,410",1546,"63,61,809"
Asal Kolaar,"63,59,807","15,906",1547,"63,59,807"
Neo Beats,"63,53,375","4,299",956,"80,12,871"
Pantera,"63,52,954",-731,1525,"63,53,685"
Nes,"63,50,695","1,186",1536,"63,51,287"
The Alchemist,"63,49,631","-29,466",1120,"73,10,016"
Bronco,"63,48,574","5,051",1455,"63,48,574"
Apache 207,"63,48,087","-9,674",1239,"73,14,287"
Mc Mika,"63,47,445","87,063",1554,"63,47,445"
Creed,"63,46,909","-1,319",1542,"63,48,228"
Aitch,"63,45,876","37,274",773,"94,26,643"
Romy,"63,41,223","4,769",1110,"72,15,349"
Wu-Tang Clan,"63,39,135","-9,618",1419,"64,02,931"
Ashnikko,"63,33,006","15,892",1259,"66,26,552"
Nagalli,"63,29,411","-6,731",1455,"65,71,329"
ATB,"63,28,964","19,118",1509,"63,28,964"
Alvaro Soler,"63,13,179","31,714",1311,"69,81,343"
Sanjay Leela Bhansali,"63,13,035","16,727",1286,"71,14,756"
1nonly,"63,11,800","9,747",1389,"63,11,800"
Kotim,"63,07,280","7,062",895,"83,20,344"
LATIN MAFIA,"63,00,549","66,302",1566,"63,00,549"
Jimmy Buffett,"62,99,079","1,26,692",1567,"62,99,079"
Crystal Castles,"62,95,742","10,703",1568,"62,95,742"
Dj Chris No Beat,"62,94,614","18,739",1395,"67,76,982"
Blackstreet,"62,91,795","-3,397",1532,"62,95,192"
John Mellencamp,"62,91,748","-11,124",1308,"71,10,678"
Mr.Kitty,"62,83,377","5,867",1065,"74,35,156"
Toploader,"62,79,695","1,130",1538,"62,87,968"
Tinlicker,"62,78,297","19,854",1460,"64,34,892"
Lauren Daigle,"62,74,604","69,197",1330,"65,82,478"
Ramones,"62,74,031","-39,934",1483,"65,45,054"
Nardo Wick,"62,72,333",166,899,"92,27,221"
Anuv Jain,"62,71,234","-21,833",1403,"67,25,261"
Yandar & Yostin,"62,69,339","62,024",1579,"62,69,339"
Banda Los Recoditos,"62,63,940","13,144",1379,"64,31,737"
raissa anggiani,"62,63,503",205,1365,"68,27,986"
Krono,"62,50,635","5,957",1349,"67,09,052"
Vampire Weekend,"62,48,992","11,384",1439,"63,72,661"
Breaking Benjamin,"62,48,245","-2,931",1433,"65,06,213"
Indila,"62,43,088","-7,424",1385,"66,44,160"
Lazza,"62,41,608","-5,902",1083,"73,25,144"
Mr. Probz,"62,38,270","-15,181",1320,"70,29,177"
deadmau5,"62,36,404",-488,1302,"65,83,562"
Muni Long,"62,34,161","-29,655",906,"94,14,284"
Maite Perroni,"62,33,154","15,547",1175,"68,83,353"
Semicenk,"62,30,358","8,793",1540,"62,60,568"
Disciples,"62,29,481","3,809",1525,"62,95,289"
Stealers Wheel,"62,29,304","-19,928",1508,"63,52,542"
Aaron Smith,"62,28,800","6,295",1360,"66,83,580"
W&W,"62,27,682","-24,242",1541,"62,51,924"
Clayton & RomÃ¡rio,"62,26,246","-14,006",1280,"72,22,239"
Vijay Yesudas,"62,03,484","2,030",1595,"62,03,484"
Abraham Mateo,"62,02,925","1,05,451",1335,"68,46,225"
TAEYANG,"61,99,305","-14,205",1044,"81,96,400"
CamelPhat,"61,96,763","1,193",1583,"62,11,491"
Luck Ra,"61,96,063","17,767",1601,"61,96,063"
Perera DJ,"61,94,583","16,007",1602,"61,94,583"
Matt Maltese,"61,91,642",-618,1279,"65,95,342"
Leo Dan,"61,88,698","24,043",1528,"61,88,698"
Matoma,"61,87,522","-8,872",1061,"75,58,271"
Tungevaag,"61,84,876","-12,751",1246,"69,68,091"
Ginuwine,"61,81,400","5,283",1343,"63,09,542"
Beret,"61,78,616","-1,221",1344,"66,05,918"
ERNEST,"61,75,500","11,577",1518,"61,75,500"
JoÃ£o Gomes,"61,74,941","29,134",907,"82,51,427"
RXDXVIL,"61,74,620","9,668",1611,"61,74,620"
Hiko,"61,71,871","-34,187",1057,"79,64,045"
Teto,"61,69,689",654,981,"78,93,583"
RÃFÃS DU SOL,"61,67,032","-1,471",1459,"63,57,692"
Wale,"61,61,904","-17,107",1259,"66,36,720"
Waka Flocka Flame,"61,52,082","30,250",1472,"64,19,677"
Majestic,"61,48,938","6,678",1353,"64,24,865"
Steely Dan,"61,47,794","5,881",1488,"64,20,590"
Bobby Pulido,"61,41,278","9,271",1565,"62,00,505"
Grimes,"61,41,085","-8,444",1488,"64,16,104"
Ãwnboss,"61,39,329",-319,1064,"73,98,587"
The xx,"61,36,436","30,071",1581,"61,36,436"
Corinne Bailey Rae,"61,31,123","-10,803",1590,"61,56,488"
Last Child,"61,29,837","21,744",1547,"61,29,837"
M. M. Keeravani,"61,28,106","-6,219",1058,"75,64,940"
EXO,"61,22,742","3,772",1337,"70,53,204"
PÃ©ricles,"61,20,316","28,079",1627,"61,20,316"
Young Money,"61,16,602","-11,633",1545,"61,67,443"
Wolfgang Amadeus Mozart,"61,15,385","12,050",1223,"66,69,785"
Bea Miller,"61,10,833","-6,163",1078,"74,14,206"
Wyclef Jean,"61,07,463","6,322",1606,"61,07,463"
Natalie Imbruglia,"61,06,752","10,854",1563,"62,18,429"
Kiki Dee,"61,04,917","-1,051",1479,"64,26,072"
Adriel Favela,"61,01,314","24,440",1218,"71,70,042"
Pusha T,"60,87,929","-23,561",1197,"68,17,833"
Celia Cruz,"60,85,576","-6,386",1348,"62,06,551"
Dulce MarÃ­a,"60,81,569","17,473",1191,"68,09,255"
Dxrk ãã¼ã¯,"60,78,343","1,195",1092,"73,40,215"
NCT DREAM,"60,72,997","-6,109",1405,"67,32,407"
Sara Bareilles,"60,65,678","-21,233",1397,"65,48,202"
Cuco,"60,62,905","-12,052",1346,"63,74,023"
Neoni,"60,62,594","-3,596",1642,"60,66,190"
Suki Waterhouse,"60,60,605","-12,786",1603,"61,55,247"
The National,"60,57,136","-6,899",998,"84,77,095"
Kid Rock,"60,57,013","-27,991",1373,"68,64,416"
The Blessed Madonna,"60,54,307","-8,428",1525,"62,78,489"
Lilly Wood and The Prick,"60,52,127","9,031",1411,"66,69,746"
Mc Poze do Rodo,"60,43,724","-3,675",1622,"60,47,399"
Panter BÃ©lico,"60,43,031","38,718",1649,"60,43,031"
Ovi,"60,39,802","-21,682",1106,"73,91,087"
Jazzy,"60,35,596","4,895",1582,"60,96,401"
Sukriti Kakar,"60,33,425","26,450",741,"95,79,447"
Bellakath,"60,32,859","-17,618",1006,"80,68,245"
LP,"60,32,591","36,112",1478,"60,32,591"
BENEE,"60,23,434",-121,1188,"68,61,046"
Obongjayar,"60,21,166","-2,11,279",1590,"62,32,445"
bÃ´a,"60,10,913","26,378",1657,"60,10,913"
RBD,"60,09,647","14,604",1246,"65,51,450"
Lauana Prado,"60,06,630","12,554",1361,"69,01,062"
Sadfriendd,"60,04,133",521,1362,"65,53,727"
New Order,"59,99,430","-13,176",1257,"65,23,858"
Shinedown,"59,98,829","-4,537",1552,"61,92,670"
FrÃ©dÃ©ric Chopin,"59,98,524","15,834",1249,"66,04,866"
Los AutÃ©nticos Decadentes,"59,96,276","1,226",1292,"63,90,639"
Sheck Wes,"59,91,735","6,199",1286,"65,37,153"
Alle Farben,"59,84,512","-1,480",1363,"69,10,068"
Westside Gunn,"59,84,415","-54,631",1310,"71,72,261"
Chris Young,"59,83,454","-35,943",1388,"65,57,043"
CRO,"59,80,932","14,738",1567,"61,67,724"
Pesado,"59,78,102","-38,642",1547,"63,26,008"
Bruno Martini,"59,77,863","4,219",1643,"60,04,945"
Chase & Status,"59,76,556","18,207",1620,"61,26,260"
La Roux,"59,74,833","30,974",1655,"59,74,833"
Kevin Gates,"59,73,041","-4,753",1347,"65,99,566"
Akhil,"59,65,770","-1,726",1079,"81,66,073"
Conor Maynard,"59,62,639","-12,089",1391,"68,04,973"
ThxSoMch,"59,58,414","30,674",783,"93,86,209"
Carly Simon,"59,46,527","-38,546",1483,"63,04,383"
DIVINE,"59,42,055","-56,840",1360,"68,99,750"
Mc Kevin,"59,37,708","19,787",1680,"59,37,708"
gnash,"59,36,780","-58,427",1507,"63,19,126"
DDG,"59,36,525","-2,638",1276,"72,70,211"
The Emotions,"59,30,566","1,435",1647,"59,38,617"
Ski Aggu,"59,23,929","10,708",1673,"59,23,929"
Chefin,"59,20,459","18,646",1480,"59,20,459"
Sam C.S.,"59,13,782","55,836",1686,"59,13,782"
11:11 Music Group,"59,06,998","-19,356",955,"81,41,605"
Simply Red,"58,94,467","-3,046",1557,"60,37,555"
Stevie Nicks,"58,91,672","-37,372",1461,"60,78,955"
Billy Currington,"58,90,547","17,537",1531,"62,54,418"
Lucky Daye,"58,88,435","2,088",1032,"77,54,167"
IU,"58,87,646","12,366",901,"88,05,240"
Rainbow Kitten Surprise,"58,83,763","-20,501",1093,"75,03,419"
Air Supply,"58,82,855","15,101",1640,"58,82,855"
Anvita Dutt,"58,73,856","14,454",1245,"66,89,226"
Mc Davi,"58,72,226","12,184",1420,"60,74,336"
Alejo,"58,69,706","97,747",1183,"69,97,702"
Boza,"58,55,587","-13,865",1462,"64,85,199"
AnahÃ­,"58,52,075","18,599",1241,"65,99,848"
Kaskade,"58,49,006","-13,322",1305,"65,62,786"
The Bangles,"58,43,492","-1,527",1629,"60,24,943"
Grupo Niche,"58,42,270","-2,944",1640,"60,13,120"
Phantogram,"58,39,773",388,1252,"67,04,724"
The Pointer Sisters,"58,38,959","-6,953",1567,"59,92,225"
RADWIMPS,"58,36,676","-5,231",1315,"67,04,898"
Lennon Stella,"58,28,897","-17,581",1256,"65,42,984"
Duelo,"58,27,392","12,149",1636,"59,56,645"
Pat Benatar,"58,25,536","5,369",1673,"58,25,696"
Arizona Zervas,"58,23,590","-4,442",1247,"65,76,145"
Alvaro Diaz,"58,23,414","7,174",1498,"58,23,414"
Jet,"58,23,302","-11,781",1248,"73,56,943"
Ana Mena,"58,20,910","-10,217",1461,"61,77,733"
Suzanne D'Mello,"58,19,657","11,106",1266,"71,27,071"
JubÃ«l,"58,19,473","-23,831",1336,"69,65,832"
Cat Burns,"58,17,846","-31,278",1035,"78,35,224"
Frankie Ruiz,"58,17,729","-9,861",1671,"59,25,252"
Gabby Barrett,"58,17,342","-3,890",1534,"62,71,572"
Brett Young,"58,13,932","-43,120",1424,"66,62,926"
thuy,"58,08,015","-17,519",1651,"59,50,997"
GoldLink,"58,07,342","10,465",1600,"58,07,342"
Rob Zombie,"58,06,788","6,685",1720,"58,06,788"
Ana BÃ¡rbara,"58,04,841","17,988",1387,"61,43,940"
Chris Isaak,"58,02,066","4,695",1633,"60,19,359"
Peter Gabriel,"58,01,260","7,053",1504,"59,16,206"
Madism,"58,01,190","-44,396",1269,"65,36,394"
Dillon Francis,"58,00,827","-1,650",1205,"67,61,800"
TRASHXRL,"57,99,172","14,002",1727,"57,99,172"
Red Velvet,"57,97,937","-6,311",1034,"77,48,512"
A Touch Of Class,"57,97,608","-5,841",1445,"61,93,660"
Alexander Stewart,"57,92,141","-43,825",1709,"58,35,966"
La Mosca Tse-Tse,"57,91,036",327,1708,"57,91,036"
Kenny Dope,"57,90,912","-4,910",1505,"61,69,342"
Steppenwolf,"57,90,885","-14,389",1656,"58,50,511"
MC Menor MT,"57,87,911",-334,1018,"76,68,287"
Chino & Nacho,"57,86,852","10,356",1626,"57,97,274"
Mike Perry,"57,86,843","-45,560",1245,"66,62,346"
Lily-Rose Depp,"57,86,818","39,403",1148,"78,32,924"
Bryan Martin,"57,86,225","3,56,099",1738,"57,86,225"
ChitÃ£ozinho & XororÃ³,"57,84,285","23,909",1734,"57,84,285"
Hungria Hip Hop,"57,82,625","3,689",1730,"57,82,625"
Tyler Hubbard,"57,81,660","72,044",1488,"64,15,587"
Sub Urban,"57,79,107","7,331",1361,"61,84,586"
James Taylor,"57,75,165","3,863",1458,"60,99,568"
Whitesnake,"57,73,102","-1,852",1605,"57,97,174"
Caifanes,"57,72,645","15,370",1713,"57,72,645"
Martin Solveig,"57,72,235","-12,074",1465,"61,62,897"
Rich The Kid,"57,70,895","15,089",916,"84,33,306"
Beny Jr,"57,68,253","-12,704",1363,"68,31,062"
Naldo Benny,"57,67,816","3,438",1676,"58,69,368"
Elevation Worship,"57,59,350","6,938",1700,"57,59,350"
PSY,"57,56,616","-11,433",1429,"59,19,444"
Kris Kross Amsterdam,"57,53,650","-19,760",1652,"59,76,796"
Money Man,"57,52,902","35,230",1414,"61,15,902"
Wings,"57,46,821","-13,583",1659,"58,56,394"
Virlan Garcia,"57,42,273","28,800",1338,"64,95,226"
ValentÃ­n Elizalde,"57,39,586","6,246",1549,"58,88,379"
Bas,"57,36,032","-71,194",1448,"66,10,936"
LSD,"57,35,368","11,668",1684,"57,90,042"
Los Temerarios,"57,34,984","36,763",1759,"57,34,984"
Naps,"57,32,205","-11,179",1655,"58,62,526"
Yo Gotti,"57,30,514","-44,259",1624,"60,56,530"
Tom Jones,"57,29,399","37,091",1760,"57,29,399"
Christian ChÃ¡vez,"57,27,190","18,160",1273,"64,46,229"
A Tribe Called Quest,"57,26,158","-5,847",1747,"57,32,005"
La Ley,"57,19,979","-24,609",1503,"59,45,410"
Los Fabulosos Cadillacs,"57,19,340","2,000",1550,"61,85,099"
RAF Camora,"57,17,441","21,282",1336,"66,77,495"
Quality Control,"57,16,972","28,122",1305,"64,62,956"
Aastha Gill,"57,15,876",535,1555,"61,57,404"
Abhijay Sharma,"57,09,827","-28,644",1055,"83,68,836"
